A,B,AB,C,D,CD,EF,GH,group,subject
10,10,20,0,0,0,10,0,intra,1
8,9,16,0,0,0,11.5,0,intra,2
10,10,20,0,0,0,10,0,intra,3
10,10,15,0,0,0,10,0,intra,4
10,10,20,0,0,0,10,0,intra,5
10,10,20,0,0,0,10,0,intra,6
10,10,20,0,0,0,10,0,intra,7
10,10,20,0,0,0,10,0,intra,8
10,10,20,0,0,0,10,0,intra,9
10,10,20,0,0,0,10,0,extra,10
10,10,20,0,0,0,10,0,extra,11
10,10,20,0,0,0,10,0,extra,12
10,10,20,0,0,0,10,0,extra,13
10,10,20,0,0,0,10,0,extra,14
10,10,20,0,0,0,10,0,extra,15
10,10,20,0,0,0,10,0,extra,16
10,10,20,0,0,0,10,0,extra,17
