Rating,Participant,Group,Cue
10,1,intra,A
10,1,intra,B
0,1,intra,C
0,1,intra,D
20,1,intra,AB
10,2,extra,A
10,2,extra,B
0,2,extra,C
0,2,extra,D
20,2,extra,AB
10,3,intra,A
10,3,intra,B
0,3,intra,C
0,3,intra,D
15.5,3,intra,AB
10,4,extra,A
10,4,extra,B
0,4,extra,C
0,4,extra,D
20,4,extra,AB
10,6,extra,A
10,6,extra,B
0,6,extra,C
0,6,extra,D
20,6,extra,AB
10,7,intra,A
11.5,7,intra,B
0,7,intra,C
0,7,intra,D
20.5,7,intra,AB
10,8,extra,A
10,8,extra,B
0,8,extra,C
0,8,extra,D
15,8,extra,AB
10,9,intra,A
10,9,intra,B
0,9,intra,C
0,9,intra,D
20.5,9,intra,AB
10,10,extra,A
9.5,10,extra,B
0,10,extra,C
0,10,extra,D
10,10,extra,AB
5,11,intra,A
10,11,intra,B
0,11,intra,C
0,11,intra,D
10,11,intra,AB
10,12,extra,A
10,12,extra,B
0,12,extra,C
0,12,extra,D
20,12,extra,AB
10.5,13,intra,A
10,13,intra,B
0,13,intra,C
0,13,intra,D
14,13,intra,AB
9,14,extra,A
10,14,extra,B
0,14,extra,C
0,14,extra,D
20,14,extra,AB
10,15,intra,A
10,15,intra,B
0,15,intra,C
0,15,intra,D
20,15,intra,AB
10,16,extra,A
10,16,extra,B
0,16,extra,C
0,16,extra,D
10,16,extra,AB
10,17,intra,A
10,17,intra,B
0,17,intra,C
0,17,intra,D
20,17,intra,AB
10,18,extra,A
10,18,extra,B
0,18,extra,C
0,18,extra,D
15,18,extra,AB
10,19,intra,A
10,19,intra,B
0,19,intra,C
0,19,intra,D
24,19,intra,AB
10,20,extra,A
10,20,extra,B
0,20,extra,C
0,20,extra,D
10,20,extra,AB
10,21,intra,A
10,21,intra,B
0,21,intra,C
0,21,intra,D
10,21,intra,AB
10,22,extra,A
10,22,extra,B
0,22,extra,C
0,22,extra,D
20,22,extra,AB
10,23,intra,A
10,23,intra,B
0,23,intra,C
0,23,intra,D
35,23,intra,AB
10,24,extra,A
10,24,extra,B
0,24,extra,C
0,24,extra,D
20,24,extra,AB
10,25,intra,A
10,25,intra,B
0,25,intra,C
0,25,intra,D
10,25,intra,AB
10,26,extra,A
10,26,extra,B
0,26,extra,C
0,26,extra,D
20,26,extra,AB
10,27,intra,A
10,27,intra,B
0,27,intra,C
0,27,intra,D
20,27,intra,AB
10,28,extra,A
10,28,extra,B
0,28,extra,C
0,28,extra,D
20,28,extra,AB
10,29,intra,A
10,29,intra,B
0,29,intra,C
0,29,intra,D
20,29,intra,AB
10,30,extra,A
10,30,extra,B
0,30,extra,C
0,30,extra,D
20,30,extra,AB
10,31,intra,A
10,31,intra,B
0,31,intra,C
0,31,intra,D
20,31,intra,AB
10,32,extra,A
10,32,extra,B
0,32,extra,C
0,32,extra,D
20,32,extra,AB
18.5,33,intra,A
19,33,intra,B
5.5,33,intra,C
2,33,intra,D
19.5,33,intra,AB
10,34,extra,A
10,34,extra,B
0,34,extra,C
0,34,extra,D
10,34,extra,AB
10,35,intra,A
10,35,intra,B
0,35,intra,C
0,35,intra,D
20,35,intra,AB
10,36,extra,A
10,36,extra,B
0,36,extra,C
0,36,extra,D
17.5,36,extra,AB
10,37,intra,A
10,37,intra,B
0,37,intra,C
0,37,intra,D
20,37,intra,AB
10,38,extra,A
10,38,extra,B
0,38,extra,C
0,38,extra,D
15,38,extra,AB
