Cue1,,Score,Participant,Group,Cue
stimuli/rot-xsm_trans-no/A.jpg,2,10,39,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,39,intra,B
stimuli/C.jpg,2,0,39,intra,C
stimuli/D.jpg,2,0,39,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,18.5,39,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,40,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,40,extra,B
stimuli/C.jpg,2,0,40,extra,C
stimuli/D.jpg,2,0,40,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,20,40,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,41,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,41,intra,B
stimuli/C.jpg,2,0,41,intra,C
stimuli/D.jpg,2,0,41,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,10,41,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,42,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,42,extra,B
stimuli/C.jpg,2,0,42,extra,C
stimuli/D.jpg,2,0,42,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,15,42,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10.5,43,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,43,intra,B
stimuli/C.jpg,2,0,43,intra,C
stimuli/D.jpg,2,0,43,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,20,43,intra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10.5,44,extra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,44,extra,B
stimuli/C.jpg,2,0,44,extra,C
stimuli/D.jpg,2,0,44,extra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,20,44,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,45,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,45,intra,B
stimuli/C.jpg,2,0,45,intra,C
stimuli/D.jpg,2,0,45,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,20,45,intra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,47,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,47,intra,B
stimuli/C.jpg,2,0,47,intra,C
stimuli/D.jpg,2,0,47,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,20,47,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,48,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,48,extra,B
stimuli/C.jpg,2,0,48,extra,C
stimuli/D.jpg,2,0,48,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,20,48,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,49,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,49,intra,B
stimuli/C.jpg,2,0,49,intra,C
stimuli/D.jpg,2,0,49,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,20,49,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,50,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,50,extra,B
stimuli/C.jpg,2,0,50,extra,C
stimuli/D.jpg,2,0,50,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,20,50,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,51,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,51,intra,B
stimuli/C.jpg,2,0,51,intra,C
stimuli/D.jpg,2,0,51,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,10,51,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,52,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,52,extra,B
stimuli/C.jpg,2,0,52,extra,C
stimuli/D.jpg,2,27.5,52,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,10,52,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,53,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,14,53,intra,B
stimuli/C.jpg,2,0,53,intra,C
stimuli/D.jpg,2,0,53,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,19,53,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,54,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,54,extra,B
stimuli/C.jpg,2,0,54,extra,C
stimuli/D.jpg,2,0,54,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,20,54,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,55,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,55,intra,B
stimuli/C.jpg,2,0,55,intra,C
stimuli/D.jpg,2,0,55,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,20,55,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,56,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,56,extra,B
stimuli/C.jpg,2,0,56,extra,C
stimuli/D.jpg,2,0,56,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,20,56,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,57,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,57,intra,B
stimuli/C.jpg,2,0,57,intra,C
stimuli/D.jpg,2,0,57,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,20,57,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,58,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,58,extra,B
stimuli/C.jpg,2,0,58,extra,C
stimuli/D.jpg,2,0,58,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,10,58,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,59,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,59,intra,B
stimuli/C.jpg,2,0,59,intra,C
stimuli/D.jpg,2,0,59,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,10,59,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,60,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,60,extra,B
stimuli/C.jpg,2,0,60,extra,C
stimuli/D.jpg,2,0,60,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,20,60,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,61,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,61,intra,B
stimuli/C.jpg,2,0,61,intra,C
stimuli/D.jpg,2,0,61,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,10,61,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,62,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,62,extra,B
stimuli/C.jpg,2,0,62,extra,C
stimuli/D.jpg,2,0,62,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,20,62,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,12,63,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,63,intra,B
stimuli/C.jpg,2,0,63,intra,C
stimuli/D.jpg,2,0,63,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,20,63,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,64,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,64,extra,B
stimuli/C.jpg,2,0.5,64,extra,C
stimuli/D.jpg,2,0,64,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,10,64,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,65,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,65,intra,B
stimuli/C.jpg,2,10,65,intra,C
stimuli/D.jpg,2,10,65,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,10,65,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,5,66,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,66,extra,B
stimuli/C.jpg,2,7.5,66,extra,C
stimuli/D.jpg,2,6.5,66,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,13,66,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,67,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,67,intra,B
stimuli/C.jpg,2,0,67,intra,C
stimuli/D.jpg,2,0,67,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,20,67,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,68,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,68,extra,B
stimuli/C.jpg,2,0,68,extra,C
stimuli/D.jpg,2,0,68,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,20,68,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,69,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,69,intra,B
stimuli/C.jpg,2,0,69,intra,C
stimuli/D.jpg,2,0,69,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,15,69,intra,AB
stimuli/rot-xsm_trans-yes/A.jpg,2,10,70,extra,A
stimuli/rot-xsm_trans-yes/B.jpg,2,10,70,extra,B
stimuli/C.jpg,2,0,70,extra,C
stimuli/D.jpg,2,0,70,extra,D
stimuli/rot-xsm_trans-yes/AB.jpg,2,20,70,extra,AB
stimuli/rot-xsm_trans-no/A.jpg,2,10,71,intra,A
stimuli/rot-xsm_trans-no/B.jpg,2,10,71,intra,B
stimuli/C.jpg,2,0,71,intra,C
stimuli/D.jpg,2,0,71,intra,D
stimuli/rot-xsm_trans-no/AB.jpg,2,20,71,intra,AB
