"","Score","Participant","Cue","Group"
"1",10,177,"A","intra"
"2",10,177,"B","intra"
"3",5,177,"C","intra"
"4",22.5,177,"D","intra"
"5",20,177,"AB","intra"
"6",10,176,"A","extra"
"7",10,176,"B","extra"
"8",0,176,"C","extra"
"9",0,176,"D","extra"
"10",20,176,"AB","extra"
"11",10,178,"A","extra"
"12",10,178,"B","extra"
"13",0,178,"C","extra"
"14",0,178,"D","extra"
"15",20,178,"AB","extra"
"16",19.5,179,"A","intra"
"17",19.5,179,"B","intra"
"18",21,179,"C","intra"
"19",19.5,179,"D","intra"
"20",20,179,"AB","intra"
"21",10,180,"A","extra"
"22",10,180,"B","extra"
"23",0,180,"C","extra"
"24",0,180,"D","extra"
"25",20,180,"AB","extra"
"26",10,181,"A","intra"
"27",10,181,"B","intra"
"28",0,181,"C","intra"
"29",0,181,"D","intra"
"30",20,181,"AB","intra"
"31",10,182,"A","extra"
"32",10,182,"B","extra"
"33",0,182,"C","extra"
"34",0,182,"D","extra"
"35",20,182,"AB","extra"
"36",10,183,"A","intra"
"37",10,183,"B","intra"
"38",0,183,"C","intra"
"39",0,183,"D","intra"
"40",20,183,"AB","intra"
"41",12,184,"A","extra"
"42",10.5,184,"B","extra"
"43",11,184,"C","extra"
"44",0.5,184,"D","extra"
"45",18,184,"AB","extra"
"46",0,185,"A","intra"
"47",10,185,"B","intra"
"48",0,185,"C","intra"
"49",10,185,"D","intra"
"50",5,185,"B","intra"
"51",10,186,"A","extra"
"52",10,186,"B","extra"
"53",0,186,"C","extra"
"54",0,186,"D","extra"
"55",10,186,"AB","extra"
"56",5,187,"A","intra"
"57",10,187,"B","intra"
"58",10,187,"C","intra"
"59",10,187,"D","intra"
"60",20,187,"AB","intra"
"61",10,188,"A","extra"
"62",10,188,"B","extra"
"63",0,188,"C","extra"
"64",0,188,"D","extra"
"65",20,188,"AB","extra"
"66",10,190,"A","extra"
"67",10,190,"B","extra"
"68",0,190,"C","extra"
"69",0,190,"D","extra"
"70",20,190,"AB","extra"
"71",23.5,191,"A","intra"
"72",23.5,191,"B","intra"
"73",22,191,"C","intra"
"74",31.5,191,"D","intra"
"75",24.5,191,"AB","intra"
"76",10,192,"A","extra"
"77",0,192,"B","extra"
"78",0,192,"C","extra"
"79",0,192,"D","extra"
"80",10,192,"AB","extra"
"81",10,193,"A","intra"
"82",10,193,"B","intra"
"83",2.5,193,"C","intra"
"84",0,193,"D","intra"
"85",20,193,"AB","intra"
"86",10,194,"A","extra"
"87",10,194,"B","extra"
"88",0,194,"C","extra"
"89",0,194,"D","extra"
"90",20,194,"AB","extra"
"91",10,195,"A","intra"
"92",10,195,"B","intra"
"93",0,195,"C","intra"
"94",0,195,"D","intra"
"95",20,195,"AB","intra"
"96",10,196,"A","extra"
"97",10,196,"B","extra"
"98",0,196,"C","extra"
"99",0,196,"D","extra"
"100",20,196,"AB","extra"
"101",10,197,"A","intra"
"102",10,197,"B","intra"
"103",0,197,"C","intra"
"104",0,197,"D","intra"
"105",20,197,"AB","intra"
"106",10,198,"A","extra"
"107",10,198,"B","extra"
"108",0,198,"C","extra"
"109",0,198,"D","extra"
"110",20,198,"AB","extra"
"111",0,199,"A","intra"
"112",5,199,"B","intra"
"113",5,199,"C","intra"
"114",5,199,"D","intra"
"115",5,199,"AB","intra"
"116",10,200,"A","extra"
"117",10,200,"B","extra"
"118",0,200,"C","extra"
"119",0,200,"D","extra"
"120",12.5,200,"AB","extra"
"121",5,201,"A","intra"
"122",10,201,"B","intra"
"123",5,201,"C","intra"
"124",0,201,"D","intra"
"125",5,201,"AB","intra"
"126",10,202,"A","extra"
"127",10,202,"B","extra"
"128",0,202,"C","extra"
"129",0,202,"D","extra"
"130",15,202,"AB","extra"
"131",10,203,"A","intra"
"132",10,203,"B","intra"
"133",2.5,203,"C","intra"
"134",0,203,"D","intra"
"135",20,203,"AB","intra"
"136",10,204,"A","extra"
"137",10,204,"B","extra"
"138",0,204,"C","extra"
"139",0,204,"D","extra"
"140",20,204,"AB","extra"
