A,B,AB,C,D,CD,EF,GH,Subject,Session,Group
10,10,10,0,0,0,10,0,1,1,Intra
10,10,20,0,0,0,10,0,2,1,Intra
10,10,10,0,0,0,10,0,3,1,Intra
10,10,10,0,0,0,10,0,4,1,Intra
10,10,10.83333333,0,0,0,10,0,6,1,Intra
10,9.833333333,10,0,0,0,10,0,8,1,Intra
10,10,10,0,0,0,10,0,9,1,Intra
10,10,10,0,0,0,10,0,10,1,Intra
10,10,10,0,0,0,10,0,11,1,Intra
10,10,10,0,0,0,10,0,12,1,Intra
10,10,20,0,0,0,10,0,25,1,Intra
10,10,10,0,0,0,10,0,26,1,Intra
10,10,10,0,0,0,10,0,27,1,Intra
10,10,15,0,0,0,10,0,28,1,Intra
10,10,10,0,0,0,10,0,29,1,Intra
10,10,15,0,0,0,10,0,30,1,Intra
10,10,10,0,0,0,10,0,31,1,Intra
10,10,10,0,0,0,10,0,32,1,Intra
10,9.833333333,10,0,0,0,10,1.666666667,35,1,Intra
10,10,10,0,0,0,10,0,14,2,Extra
10,10,10,0,0,0,10,0,15,2,Extra
10,10,13.33333333,0,0,0,10,0,16,2,Extra
10,10,10,0,0,0,10,0,18,2,Extra
10.16666667,10,10,0,0,0,10,0,19,2,Extra
10,10,10.33333333,0,0,0,10,0,20,2,Extra
10,10,10,0,0,0,10,0,21,2,Extra
10,10,16.66666667,0,0,0,10,0,22,2,Extra
10,10,10,0,0,0,10,0,23,2,Extra
10,10,10,0,0,0,10,0,24,2,Extra
10,10,20,0,0,0,10,0,37,2,Extra
10,10,10,0,0,0,10,0,38,2,Extra
10,10,10,0,0,0,10,0,39,2,Extra
10,10,13.33333333,0,0,0,10,0,40,2,Extra
10,10,10,0,0,0,10,1.666666667,41,2,Extra
10,10,10,0,0,0,10,0,42,2,Extra
10,10,20,0,0,0,10,0,43,2,Extra
10,8.666666667,6.666666667,0,0,3.333333333,10,0,44,2,Extra
10,10,10,0,0,0,10,0,45,2,Extra
10,10,18.33333333,0,0,0,10,0,46,2,Extra
10,10,10,0,0,0,10,0.166666667,47,2,Extra
10,10,10,0,0,0,10,0,48,2,Extra
